sample_id,image_id,file_name,annotation_id,gt_class,category_id,bbox_x,bbox_y,bbox_w,bbox_h,area,native_short_side,size_bin,context_side,variant_a,variant_b,variant_c
S0001,162,0000244_02000_d_0000005.jpg,9625,bus,5,484.0,169.0,7.0,10.0,70.01,7.0,micro,64.0,sim960,sim640,native
S0002,340,0000290_04001_d_0000867.jpg,21239,bicycle,2,613.0,149.0,7.0,16.0,112.0,7.0,micro,64.0,native,sim640,sim960
S0003,3,0000001_04527_d_0000008.jpg,341,person,1,1166.0,585.0,23.0,43.0,988.99,23.0,small,172.0,sim960,native,sim640
S0004,288,0000287_00601_d_0000762.jpg,18023,truck,4,673.0,30.0,7.0,9.0,63.0,7.0,micro,64.0,sim640,native,sim960
S0005,254,0000277_02601_d_0000552.jpg,15617,car,3,241.0,103.0,6.0,5.0,30.0,5.0,micro,64.0,native,sim640,sim960
S0006,164,0000244_03000_d_0000007.jpg,9814,bus,5,503.0,363.0,22.0,38.0,836.01,22.0,small,152.0,sim640,native,sim960
S0007,96,0000162_01058_d_0000001.jpg,5224,truck,4,465.0,107.0,7.0,9.0,63.0,7.0,micro,64.0,sim960,sim640,native
S0008,425,0000327_03801_d_0000730.jpg,30772,person,1,779.0,233.0,7.0,18.0,126.0,7.0,micro,72.0,sim640,native,sim960
S0009,422,0000327_03201_d_0000727.jpg,30508,bicycle,2,581.0,234.0,6.0,10.0,60.0,6.0,micro,64.0,sim960,sim640,native
S0010,351,0000291_02201_d_0000879.jpg,22883,bicycle,2,12.0,249.0,32.0,23.0,735.98,23.0,small,128.0,sim960,native,sim640
S0011,268,0000280_01001_d_0000617.jpg,16633,bus,5,672.0,71.0,11.0,17.0,186.99,11.0,tiny,68.0,sim640,sim960,native
S0012,545,0000364_01373_d_0000780.jpg,38549,truck,4,448.0,121.0,26.0,15.0,390.0,15.0,tiny,104.0,native,sim640,sim960
S0013,424,0000327_03601_d_0000729.jpg,30668,car,3,524.0,94.0,23.0,12.0,276.0,12.0,tiny,92.0,native,sim960,sim640
S0014,365,0000295_00600_d_0000024.jpg,24934,person,1,926.0,489.0,7.0,20.0,140.0,7.0,micro,80.0,native,sim960,sim640
S0015,87,0000155_00001_d_0000001.jpg,4607,motorcycle,6,430.0,213.0,13.0,22.0,286.01,13.0,tiny,88.0,native,sim960,sim640
