sample_id,triptych,label_a,label_b,label_c,notes
S0001,crops/triptych/S0001.png,,,,
S0002,crops/triptych/S0002.png,,,,
S0003,crops/triptych/S0003.png,,,,
S0004,crops/triptych/S0004.png,,,,
S0005,crops/triptych/S0005.png,,,,
S0006,crops/triptych/S0006.png,,,,
S0007,crops/triptych/S0007.png,,,,
S0008,crops/triptych/S0008.png,,,,
S0009,crops/triptych/S0009.png,,,,
S0010,crops/triptych/S0010.png,,,,
S0011,crops/triptych/S0011.png,,,,
S0012,crops/triptych/S0012.png,,,,
S0013,crops/triptych/S0013.png,,,,
S0014,crops/triptych/S0014.png,,,,
S0015,crops/triptych/S0015.png,,,,
S0016,crops/triptych/S0016.png,,,,
S0017,crops/triptych/S0017.png,,,,
S0018,crops/triptych/S0018.png,,,,
S0019,crops/triptych/S0019.png,,,,
S0020,crops/triptych/S0020.png,,,,
S0021,crops/triptych/S0021.png,,,,
S0022,crops/triptych/S0022.png,,,,
S0023,crops/triptych/S0023.png,,,,
S0024,crops/triptych/S0024.png,,,,
S0025,crops/triptych/S0025.png,,,,
S0026,crops/triptych/S0026.png,,,,
S0027,crops/triptych/S0027.png,,,,
S0028,crops/triptych/S0028.png,,,,
S0029,crops/triptych/S0029.png,,,,
S0030,crops/triptych/S0030.png,,,,
S0031,crops/triptych/S0031.png,,,,
S0032,crops/triptych/S0032.png,,,,
S0033,crops/triptych/S0033.png,,,,
S0034,crops/triptych/S0034.png,,,,
S0035,crops/triptych/S0035.png,,,,
S0036,crops/triptych/S0036.png,,,,
S0037,crops/triptych/S0037.png,,,,
S0038,crops/triptych/S0038.png,,,,
S0039,crops/triptych/S0039.png,,,,
S0040,crops/triptych/S0040.png,,,,
S0041,crops/triptych/S0041.png,,,,
S0042,crops/triptych/S0042.png,,,,
S0043,crops/triptych/S0043.png,,,,
S0044,crops/triptych/S0044.png,,,,
S0045,crops/triptych/S0045.png,,,,
S0046,crops/triptych/S0046.png,,,,
S0047,crops/triptych/S0047.png,,,,
S0048,crops/triptych/S0048.png,,,,
S0049,crops/triptych/S0049.png,,,,
S0050,crops/triptych/S0050.png,,,,
S0051,crops/triptych/S0051.png,,,,
S0052,crops/triptych/S0052.png,,,,
S0053,crops/triptych/S0053.png,,,,
S0054,crops/triptych/S0054.png,,,,
S0055,crops/triptych/S0055.png,,,,
S0056,crops/triptych/S0056.png,,,,
S0057,crops/triptych/S0057.png,,,,
S0058,crops/triptych/S0058.png,,,,
S0059,crops/triptych/S0059.png,,,,
S0060,crops/triptych/S0060.png,,,,
S0061,crops/triptych/S0061.png,,,,
S0062,crops/triptych/S0062.png,,,,
S0063,crops/triptych/S0063.png,,,,
S0064,crops/triptych/S0064.png,,,,
S0065,crops/triptych/S0065.png,,,,
S0066,crops/triptych/S0066.png,,,,
S0067,crops/triptych/S0067.png,,,,
S0068,crops/triptych/S0068.png,,,,
S0069,crops/triptych/S0069.png,,,,
S0070,crops/triptych/S0070.png,,,,
S0071,crops/triptych/S0071.png,,,,
S0072,crops/triptych/S0072.png,,,,
S0073,crops/triptych/S0073.png,,,,
S0074,crops/triptych/S0074.png,,,,
S0075,crops/triptych/S0075.png,,,,
S0076,crops/triptych/S0076.png,,,,
S0077,crops/triptych/S0077.png,,,,
S0078,crops/triptych/S0078.png,,,,
S0079,crops/triptych/S0079.png,,,,
S0080,crops/triptych/S0080.png,,,,
S0081,crops/triptych/S0081.png,,,,
S0082,crops/triptych/S0082.png,,,,
S0083,crops/triptych/S0083.png,,,,
S0084,crops/triptych/S0084.png,,,,
S0085,crops/triptych/S0085.png,,,,
S0086,crops/triptych/S0086.png,,,,
S0087,crops/triptych/S0087.png,,,,
S0088,crops/triptych/S0088.png,,,,
S0089,crops/triptych/S0089.png,,,,
S0090,crops/triptych/S0090.png,,,,
S0091,crops/triptych/S0091.png,,,,
S0092,crops/triptych/S0092.png,,,,
S0093,crops/triptych/S0093.png,,,,
S0094,crops/triptych/S0094.png,,,,
S0095,crops/triptych/S0095.png,,,,
S0096,crops/triptych/S0096.png,,,,
S0097,crops/triptych/S0097.png,,,,
S0098,crops/triptych/S0098.png,,,,
S0099,crops/triptych/S0099.png,,,,
S0100,crops/triptych/S0100.png,,,,
S0101,crops/triptych/S0101.png,,,,
S0102,crops/triptych/S0102.png,,,,
S0103,crops/triptych/S0103.png,,,,
S0104,crops/triptych/S0104.png,,,,
S0105,crops/triptych/S0105.png,,,,
S0106,crops/triptych/S0106.png,,,,
S0107,crops/triptych/S0107.png,,,,
S0108,crops/triptych/S0108.png,,,,
S0109,crops/triptych/S0109.png,,,,
S0110,crops/triptych/S0110.png,,,,
S0111,crops/triptych/S0111.png,,,,
S0112,crops/triptych/S0112.png,,,,
S0113,crops/triptych/S0113.png,,,,
S0114,crops/triptych/S0114.png,,,,
S0115,crops/triptych/S0115.png,,,,
S0116,crops/triptych/S0116.png,,,,
S0117,crops/triptych/S0117.png,,,,
S0118,crops/triptych/S0118.png,,,,
S0119,crops/triptych/S0119.png,,,,
S0120,crops/triptych/S0120.png,,,,
